fips,year,per_capita_income,gdp_thousands,median_income,poverty_rate,pct_bachelors,pop_density,unemployment_acs,median_age,elec_rate_cents_kwh,total_employment,total_wages,avg_annual_wage,data_processing_employment,total_establishments,unemployment_rate,labor_force,is_treated,dc_opening_year,dc_active,years_since_dc,contaminated_control,state,log_pop_density,log_labor_force,log_total_employment,log_total_wages,log_gdp_thousands
51127,2018,74604.0,522229.0,79698.0,4.8,28.4,100.47373056871474,4.5,43.7,11.66164086138545,4372.0,163072422.0,37298.0,,491.0,2.7,12447.0,0,,0,0.0,0,51,4.609896305955523,9.429234909000977,8.382975849296429,18.909704966844487,13.165861467983248
51127,2019,81720.0,574347.0,87904.0,6.9,26.9,103.24945842359608,3.5,43.3,12.056458043354928,4854.0,199404824.0,41080.0,,500.0,2.3,12895.0,0,,0,0.0,0,51,4.6371479865353376,9.464594918315445,8.487558386286548,19.11084760777711,13.26098902226401
51127,2020,85751.0,614093.0,97688.0,4.8,32.1,106.22039183945532,3.1,43.9,12.179610359243735,4980.0,223061782.0,44792.0,,519.0,4.7,12652.0,0,,0,0.0,0,51,4.6655161039297885,9.445570584425539,8.513185170018698,19.22295934038067,13.32790166145754
51127,2021,96838.0,650049.0,101628.0,4.6,32.8,107.21546408931844,3.1,42.1,12.13029958147936,5207.0,228043379.0,43798.0,,533.0,2.9,12742.0,0,,0,0.0,0,51,4.67484049279755,9.452658902676433,8.557759153162898,19.24504642759374,13.384803023645928
51127,2022,115233.0,624876.0,113120.0,3.9,33.6,110.91484752541244,3.1,43.2,13.40972176536102,5356.0,250872430.0,46838.0,,594.0,2.3,13231.0,0,,0,0.0,0,51,4.708762767499623,9.490317840042412,8.585972706811063,19.340455120882815,13.345308509034655
51131,2012,38912.0,511559.0,34304.0,22.4,19.6,58.60792019347038,8.8,47.3,11.823409252757964,5002.0,151480406.0,30284.0,,455.0,9.1,6184.0,0,,0,0.0,0,51,4.070869844335258,8.729720590267258,8.517593111437565,18.835966841216088,13.145218204740436
51131,2013,38944.0,483865.0,33635.0,24.3,20.2,58.28200574365176,11.3,47.2,11.277384974918505,4913.0,149765083.0,30485.0,,476.0,8.9,6031.0,0,,0,0.0,0,51,4.065293396377417,8.704668113450987,8.499640032168648,18.824578511089797,13.089561221171948
51131,2014,39282.0,453056.0,34656.0,23.8,20.4,57.880516928657805,9.1,48.0,11.73313465646087,5065.0,156424005.0,30883.0,,497.0,7.4,6101.0,0,,0,0.0,0,51,4.058380832764483,8.716207971151853,8.530109416682784,18.868080858952652,13.02377101713386
51131,2015,41340.0,482655.0,35055.0,23.0,20.6,57.549879081015725,9.5,48.3,12.027638828624529,5301.0,167908313.0,31677.0,,563.0,6.0,6120.0,0,,0,0.0,0,51,4.052652034053881,8.719317375506371,8.575650760987806,18.938928632436166,13.087057391696842
51131,2016,44748.0,491299.0,37011.0,21.9,21.5,57.23813482466747,7.0,48.4,11.674144634068991,5197.0,164542946.0,31659.0,,584.0,5.7,5881.0,0,,0,0.0,0,51,4.047220368983818,8.679482094459956,8.555836815008442,18.9186821640057,13.104808182738426
