fips,state,per_capita_income,total_employment,avg_annual_wage,elec_rate_cents_kwh,poverty_rate,unemployment_rate,pop_density,median_age,pct_bachelors
13157,GA,30693.333333333332,18046.0,33790.0,11.45381042060862,15.6,9.4,175.09082665504715,36.53333333333333,18.0
13085,GA,33570.0,7464.333333333333,25804.666666666668,11.525699292607937,13.7,9.833333333333334,104.54809924045509,40.5,21.400000000000002
13183,GA,25766.666666666668,884.3333333333334,26517.333333333332,11.615442070122217,20.8,8.566666666666668,34.43975457262503,30.066666666666666,9.933333333333334
13009,GA,27272.333333333332,15233.333333333334,30740.333333333332,11.602337325006868,28.7,13.533333333333333,179.91119632415663,34.26666666666667,18.900000000000002
13285,GA,31269.666666666668,33221.0,38472.0,11.571446874783039,22.1,10.766666666666666,160.3990895528036,35.93333333333333,19.566666666666666
13079,GA,29032.666666666668,1193.0,28660.0,11.553749975065921,21.5,10.699999999999998,39.26474903102565,40.266666666666666,12.633333333333333
13255,GA,28904.333333333332,20690.0,32146.333333333332,11.507009626763345,21.6,13.766666666666666,324.8728546886428,36.833333333333336,14.4
13125,GA,26271.333333333332,395.6666666666667,23261.0,11.612453535180213,23.7,10.466666666666667,21.183198141165665,39.36666666666667,9.9
13147,GA,28988.666666666668,5882.0,33568.0,11.605380747410145,23.5,10.966666666666667,108.18109588019495,42.53333333333333,15.266666666666666
13127,GA,37026.0,35010.333333333336,37115.333333333336,11.607579405253825,17.7,9.9,187.46087879336696,39.5,26.03333333333333
29091,MO,27814.333333333332,14935.333333333334,28988.0,9.212524545871407,20.6,9.633333333333333,43.20678072615405,39.300000000000004,15.333333333333334
29045,MO,30177.666666666668,1427.6666666666667,23674.0,9.70948108664133,16.6,10.266666666666667,14.123890718699343,42.53333333333333,12.200000000000001
29223,MO,25437.333333333332,2736.3333333333335,22882.666666666668,9.542753807202311,22.7,10.1,17.705366888571003,45.666666666666664,7.966666666666666
29510,MO,36676.333333333336,216924.0,52755.666666666664,,27.0,10.233333333333334,5160.160468230314,33.96666666666667,27.7
29105,MO,28383.333333333332,12225.666666666666,29338.0,9.145552182196116,18.5,11.1,46.36621633992912,38.833333333333336,13.233333333333334
29157,MO,32331.0,9253.333333333334,30886.666666666668,9.77000413988413,12.5,6.433333333333334,39.98552420304062,39.43333333333334,13.0
29007,MO,33020.0,9224.666666666666,30804.666666666668,9.74841505819069,16.3,8.200000000000001,37.04056819549778,38.300000000000004,13.9
29186,MO,33348.0,5486.333333333333,37388.0,,10.7,9.033333333333333,36.36159654454646,42.800000000000004,10.733333333333334
29149,MO,24558.666666666668,2290.3333333333335,21473.333333333332,9.370171094170392,26.1,9.700000000000001,13.687935001510846,45.06666666666666,9.966666666666667
29161,MO,30900.666666666668,17231.666666666668,32876.0,9.712576587100768,18.8,8.299999999999999,66.4709697170879,33.93333333333334,26.03333333333333
29229,MO,26039.666666666668,4512.666666666667,25379.666666666668,9.417084166431575,26.6,10.166666666666666,27.490496620341514,40.73333333333333,11.466666666666667
29181,MO,27956.666666666668,3038.3333333333335,22324.0,9.371464730330407,27.2,11.933333333333332,22.348915674899445,41.833333333333336,10.6
29119,MO,23158.0,6811.333333333333,27699.0,11.258479377103829,21.8,8.166666666666666,42.637031269792715,36.53333333333333,9.366666666666667
29131,MO,28387.666666666668,5820.0,28692.666666666668,9.720000793613146,19.3,11.266666666666666,41.870580002655096,40.199999999999996,12.9
29123,MO,29538.666666666668,3433.3333333333335,25999.0,9.695303642122141,18.6,10.4,24.868557496908622,40.63333333333333,10.133333333333333
29053,MO,31174.0,5326.666666666667,29006.333333333332,9.946313346203961,17.8,8.766666666666666,31.12350597609562,37.53333333333333,17.233333333333334
29127,MO,34344.333333333336,14030.0,32148.333333333332,9.735966389792653,15.5,7.633333333333333,65.53801365003365,38.86666666666667,17.733333333333334
29189,MO,56384.0,564129.0,50722.666666666664,,10.5,7.833333333333333,1967.2563787021083,39.63333333333333,39.4
29049,MO,34054.333333333336,4027.0,28766.666666666668,9.971013999484864,9.8,8.633333333333333,49.44224312152894,40.63333333333333,17.5
29203,MO,23840.333333333332,1279.0,19860.666666666668,9.732563229694925,21.4,13.166666666666666,8.380984638680241,43.03333333333333,12.766666666666666
29015,MO,29767.0,3452.0,26231.0,10.64673511832337,18.6,10.833333333333334,27.012938313971077,51.06666666666666,12.133333333333333
29067,MO,22775.0,2324.0,24956.0,9.939502864395443,24.1,10.833333333333334,16.822287472207645,43.9,10.333333333333334
29173,MO,34376.666666666664,2537.6666666666665,32856.333333333336,9.720657826938488,10.4,7.633333333333333,21.636755948263083,43.96666666666667,15.600000000000001
