fips,year,elec_rate_cents_kwh,res_sales_mwh,res_customers
41007,2021,10.400083411058416,,
41007,2022,9.917496828215798,,
41007,2023,,,
41007,2024,13.899829230756712,,
41009,2010,10.008764896674673,,
41009,2011,10.688795255809769,,
41009,2012,10.60658645811516,,
41009,2013,10.354029023813807,,
41009,2014,11.245903319993575,,
41009,2015,11.428608533264883,,
41009,2016,11.298255293889115,,
41009,2017,11.316243823076858,,
41009,2018,11.901090163365936,,
41009,2019,12.210338636187483,,
41009,2020,12.402246222872531,,
41009,2021,13.12029218460512,,
41009,2022,13.514118048337302,,
41009,2023,,,
41009,2024,17.97088766934934,,
41011,2010,8.516380315240484,,
41011,2011,9.562098962187175,,
41011,2012,10.171373975716236,,
41011,2013,10.571655751375506,,
41011,2014,10.86168027072923,,
41011,2015,10.979254992975946,,
41011,2016,10.954405723450432,,
41011,2017,11.018391883100435,,
41011,2018,11.055540166867804,,
41011,2019,10.761826133502309,,
41011,2020,10.761961055035455,,
41011,2021,10.453400730539043,,
41011,2022,9.997783109366868,,
41011,2023,,,
41011,2024,13.815999757994783,,
41013,2010,8.527962141995593,,
41013,2011,9.631053018512455,,
41013,2012,10.251792823658285,,
41013,2013,10.659395774328972,,
41013,2014,10.938838555389983,,
41013,2015,11.019377623671227,,
41013,2016,10.931799682244293,,
41013,2017,11.011359574782999,,
41013,2018,10.996878114921735,,
41013,2019,10.668336893943684,,
41013,2020,10.674007918265263,,
41013,2021,10.351880992670473,,
41013,2022,9.865326471347062,,
41013,2023,,,
41013,2024,13.765977136869024,,
41033,2010,8.55157507464548,,
41033,2011,9.729982454640973,,
41033,2012,10.38091400788482,,
41033,2013,10.8146884132268,,
41033,2014,11.085967157598136,,
41033,2015,11.152553845851994,,
41033,2016,11.060061447603085,,
41033,2017,11.155491075135771,,
41033,2018,11.136253685956504,,
41033,2019,10.7934011078427,,
41033,2020,10.76665337347103,,
41033,2021,10.423456161524207,,
41033,2022,9.911462121490407,,
41033,2023,,,
41033,2024,14.019639996087252,,
41035,2010,8.519934926476406,,
41035,2011,9.660434614418666,,
41035,2012,10.293402511964134,,
41035,2013,10.720444341667104,,
41035,2014,10.999080222440005,,
41035,2015,11.072207115533415,,
41035,2016,10.988535053839966,,
41035,2017,11.078552215445713,,
41035,2018,11.068366785953936,,
41035,2019,10.73563084453152,,
41035,2020,10.71130338369474,,
41035,2021,10.374090594116547,,
41035,2022,9.884074744699092,,
41035,2023,,,
41035,2024,13.904785830309029,,
