fips,county_name,state,year,median_income,poverty_rate,pct_bachelors,pop_density,unemployment_acs,median_age
31103,"Keya Paha County, Nebraska",NE,2010,32000.0,,14.0,0.9572150732916298,0.0,53.9
31105,"Kimball County, Nebraska",NE,2010,42010.0,,19.8,4.00654661733593,3.2,45.7
31107,"Knox County, Nebraska",NE,2010,36798.0,,17.5,7.904781752422092,3.7,45.8
31109,"Lancaster County, Nebraska",NE,2010,50849.0,,35.3,333.6210735695669,5.3,32.4
31111,"Lincoln County, Nebraska",NE,2010,45181.0,,19.0,14.104924068108605,5.4,39.1
31113,"Logan County, Nebraska",NE,2010,45192.0,,18.8,1.1950278430974002,2.8,45.1
31115,"Loup County, Nebraska",NE,2010,34219.0,,10.0,1.1268435426541337,1.3,47.0
31117,"McPherson County, Nebraska",NE,2010,50625.0,,24.3,0.5690976485443786,0.4,36.6
31119,"Madison County, Nebraska",NE,2010,44089.0,,20.0,60.63336721257654,3.9,36.8
31121,"Merrick County, Nebraska",NE,2010,46116.0,,13.5,15.975076909815929,6.1,42.1
31123,"Morrill County, Nebraska",NE,2010,37717.0,,21.0,3.5610529930471335,5.0,43.3
31125,"Nance County, Nebraska",NE,2010,41610.0,,11.6,8.503208800764495,5.3,44.7
31127,"Nemaha County, Nebraska",NE,2010,42534.0,,23.0,17.79432810394303,5.9,41.7
31129,"Nuckolls County, Nebraska",NE,2010,31761.0,,12.4,7.968286809642619,4.0,48.6
31131,"Otoe County, Nebraska",NE,2010,47493.0,,21.5,25.567517347124404,4.5,42.9
31133,"Pawnee County, Nebraska",NE,2010,41969.0,,14.8,6.41883662935684,3.1,48.6
31135,"Perkins County, Nebraska",NE,2010,47000.0,,18.4,3.377058868147531,2.1,42.6
