fips,year,unemployment_rate,labor_force
29077,2020,5.4,149004
29077,2021,3.2,151144
29077,2022,2.1,153877
29099,2010,10.3,117009
29099,2011,8.9,116363
29099,2012,7.4,114493
29099,2013,6.9,114506
29099,2014,6.2,115933
29099,2015,5.0,116938
29099,2016,4.3,117502
29099,2017,3.6,116180
29099,2018,3.1,116593
29099,2019,3.0,118651
29099,2020,6.1,116256
29099,2021,3.8,116383
29099,2022,2.4,117248
31053,2010,5.4,18827
31053,2011,4.9,19138
31053,2012,4.4,19229
31053,2013,4.1,19192
31053,2014,3.6,19232
31053,2015,3.2,19171
31053,2016,3.1,19237
31053,2017,2.8,19536
31053,2018,2.9,19647
31053,2019,3.0,19900
31053,2020,3.5,20310
31053,2021,2.4,20380
31053,2022,2.0,20685
31079,2010,4.7,31476
31079,2011,4.5,32025
31079,2012,3.9,32587
31079,2013,3.6,32476
31079,2014,3.9,32417
31079,2015,3.9,31717
31079,2016,3.6,31581
31079,2017,3.5,31887
31079,2018,3.3,32272
31079,2019,3.6,32346
31079,2020,5.8,32250
31079,2021,3.0,32416
31079,2022,2.2,32852
31109,2010,4.3,162326
31109,2011,4.0,164218
31109,2012,3.5,167268
31109,2013,3.4,168376
31109,2014,3.0,168083
31109,2015,2.6,168174
31109,2016,2.8,169981
31109,2017,2.7,172124
31109,2018,2.6,176934
31109,2019,2.8,179733
31109,2020,4.3,178492
31109,2021,2.5,177655
31109,2022,2.0,179486
31153,2010,4.5,84801
31153,2011,4.2,86383
31153,2012,3.8,87890
31153,2013,3.5,88979
31153,2014,3.1,89873
31153,2015,2.8,91004
31153,2016,2.9,92568
31153,2017,2.8,94047
31153,2018,2.8,96163
31153,2019,2.9,98632
31153,2020,4.1,97950
31153,2021,2.5,98031
31153,2022,2.1,98999
31157,2010,5.6,19176
31157,2011,5.0,19216
31157,2012,4.6,19192
31157,2013,4.1,19093
31157,2014,3.6,18764
31157,2015,3.4,18734
31157,2016,3.5,18951
31157,2017,3.5,18557
31157,2018,3.3,18626
31157,2019,3.8,18505
31157,2020,4.2,18289
31157,2021,2.9,18092
31157,2022,2.4,17973
32003,2010,14.0,984712
32003,2011,13.5,986302
32003,2012,11.7,992000
32003,2013,10.0,998095
32003,2014,8.2,1010053
32003,2015,6.9,1027290
32003,2016,5.9,1040292
32003,2017,5.2,1060593
32003,2018,4.6,1095346
32003,2019,4.3,1134086
32003,2020,15.5,1106244
32003,2021,7.8,1097878
32003,2022,5.8,1150663
32005,2010,14.0,23127
32005,2011,13.5,23026
32005,2012,11.9,22609
32005,2013,10.1,22466
32005,2014,8.3,22128
32005,2015,6.8,22244
32005,2016,5.7,22069
32005,2017,4.8,22201
32005,2018,4.2,22776
32005,2019,4.2,23268
32005,2020,9.0,22177
32005,2021,4.3,21900
32005,2022,3.9,22290
32007,2010,7.9,26539
32007,2011,7.4,27895
32007,2012,6.6,28840
32007,2013,6.4,28506
32007,2014,5.8,27626
32007,2015,5.2,26478
32007,2016,4.5,26709
32007,2017,3.7,26567
32007,2018,3.1,27295
32007,2019,3.1,27373
32007,2020,6.0,26179
32007,2021,3.1,25662
32007,2022,3.1,25746
32019,2010,17.8,22954
32019,2011,17.1,22753
32019,2012,15.3,22423
32019,2013,13.2,22209
32019,2014,10.7,22258
32019,2015,9.6,21287
32019,2016,7.6,21106
32019,2017,6.0,21479
32019,2018,5.3,22199
32019,2019,5.1,23266
32019,2020,9.0,22713
32019,2021,4.9,23299
32019,2022,4.7,23568
32023,2010,17.6,16746
32023,2011,17.1,16781
32023,2012,14.9,16611
32023,2013,12.6,16244
32023,2014,10.0,16035
32023,2015,8.9,15802
32023,2016,7.4,15905
32023,2017,6.4,15988
32023,2018,5.6,16602
32023,2019,5.4,17349
32023,2020,10.2,17420
32023,2021,5.8,17128
32023,2022,5.5,17750
32029,2010,17.0,2015
32029,2011,16.0,1958
32029,2012,13.8,1904
32029,2013,12.0,1883
32029,2014,9.3,1831
32029,2015,7.5,1853
32029,2016,6.4,1891
32029,2017,5.0,1898
32029,2018,4.2,1979
32029,2019,3.9,2058
32029,2020,8.6,2016
32029,2021,4.4,2044
32029,2022,3.9,2088
32031,2010,13.1,220840
32031,2011,12.8,219619
32031,2012,11.5,219463
32031,2013,9.8,219924
32031,2014,7.8,220570
32031,2015,6.3,223392
32031,2016,5.1,227991
32031,2017,4.1,236461
32031,2018,3.5,248220
32031,2019,3.4,255707
32031,2020,8.2,248602
32031,2021,4.0,251993
32031,2022,3.4,256315
32510,2010,13.7,26706
32510,2011,13.5,26275
32510,2012,12.2,25720
32510,2013,10.8,25214
32510,2014,8.9,24752
32510,2015,7.3,24601
32510,2016,6.2,24529
32510,2017,5.0,25143
32510,2018,4.5,25544
32510,2019,4.2,26241
32510,2020,8.7,25644
32510,2021,4.5,25355
32510,2022,3.9,25216
35001,2010,7.4,324142
35001,2011,6.9,321894
35001,2012,6.6,321332
35001,2013,6.4,321539
35001,2014,6.1,322126
35001,2015,6.0,324436
35001,2016,5.9,329282
35001,2017,5.4,332042
35001,2018,4.5,330538
35001,2019,4.5,334102
35001,2020,7.6,327232
35001,2021,6.5,333979
35001,2022,3.6,338098
35005,2010,7.2,27829
35005,2011,6.5,27447
35005,2012,6.4,27003
35005,2013,6.3,26792
35005,2014,6.0,27248
35005,2015,6.4,27901
35005,2016,6.8,28257
35005,2017,6.4,27762
35005,2018,4.8,27248
35005,2019,5.0,27368
35005,2020,7.6,27499
35005,2021,7.3,27857
35005,2022,4.3,27534
35013,2010,7.4,92896
35013,2011,7.3,92873
35013,2012,7.2,93870
35013,2013,7.5,94284
35013,2014,7.2,94455
35013,2015,7.4,94974
35013,2016,7.2,96370
35013,2017,6.7,96802
35013,2018,5.7,96870
35013,2019,5.8,98120
35013,2020,7.8,96511
35013,2021,6.9,98454
35013,2022,4.4,99295
35025,2010,7.6,26101
35025,2011,5.4,27121
35025,2012,4.6,28373
35025,2013,4.5,29488
35025,2014,4.3,30890
35025,2015,6.3,30113
35025,2016,9.3,27967
35025,2017,6.5,28133
35025,2018,4.1,30099
35025,2019,4.1,31293
35025,2020,10.4,28930
35025,2021,9.8,27977
35025,2022,4.4,29141
35031,2010,9.5,25221
35031,2011,9.6,24810
35031,2012,9.4,24929
35031,2013,10.1,24447
35031,2014,10.0,24064
35031,2015,9.9,24475
35031,2016,9.5,24587
35031,2017,8.5,24556
35031,2018,7.1,23911
35031,2019,7.1,24242
35031,2020,9.8,23494
35031,2021,9.9,23301
35031,2022,5.8,22516
35035,2010,6.9,24796
35035,2011,6.6,24557
35035,2012,6.4,25081
35035,2013,6.4,25397
35035,2014,6.2,24883
35035,2015,6.3,25168
35035,2016,6.1,25674
35035,2017,6.0,25216
35035,2018,4.9,24776
35035,2019,5.0,24933
35035,2020,7.9,25111
35035,2021,6.9,25262
35035,2022,4.2,25081
35049,2010,6.5,73742
35049,2011,6.0,73251
35049,2012,5.7,73761
35049,2013,5.6,73660
35049,2014,5.4,73054
35049,2015,5.4,73665
35049,2016,5.3,74060
35049,2017,5.0,74245
35049,2018,4.1,74430
35049,2019,4.1,73867
35049,2020,7.7,70713
35049,2021,6.4,72300
35049,2022,3.6,72251
35061,2010,9.2,30910
35061,2011,8.6,30472
35061,2012,8.5,30227
35061,2013,8.3,30046
35061,2014,7.8,29721
35061,2015,7.5,29860
35061,2016,7.3,30156
35061,2017,6.6,30485
35061,2018,5.4,30447
35061,2019,5.4,30801
35061,2020,7.7,30081
35061,2021,7.1,30873
35061,2022,4.3,31119
37001,2010,10.8,77083
37001,2011,9.6,77660
37001,2012,8.7,78641
37001,2013,7.1,77398
37001,2014,5.5,76826
37001,2015,5.3,77206
37001,2016,4.7,78694
37001,2017,4.3,78810
37001,2018,3.8,79653
37001,2019,3.8,81735
37001,2020,7.1,78631
37001,2021,4.9,80769
37001,2022,3.7,83565
37027,2010,14.7,38334
37027,2011,13.2,37542
37027,2012,11.9,37235
37027,2013,9.3,36422
37027,2014,7.1,35487
37027,2015,6.2,35421
37027,2016,5.2,35786
37027,2017,4.5,35997
37027,2018,3.9,35852
37027,2019,4.0,36088
37027,2020,7.8,34466
37027,2021,5.0,35147
37027,2022,3.6,36235
37031,2010,9.5,31496
37031,2011,9.7,31130
37031,2012,9.1,31763
37031,2013,7.6,31237
37031,2014,6.0,31079
37031,2015,5.8,31300
37031,2016,5.2,31473
37031,2017,4.4,31480
37031,2018,4.4,31414
37031,2019,4.1,31828
37031,2020,6.2,30215
37031,2021,4.2,31036
37031,2022,3.5,32165
37035,2010,12.9,78163
37035,2011,11.7,77222
37035,2012,10.4,77247
37035,2013,8.3,76133
37035,2014,6.2,74659
37035,2015,5.4,75074
37035,2016,4.7,76648
37035,2017,4.2,77535
37035,2018,3.6,77500
37035,2019,3.6,78187
37035,2020,7.9,75482
37035,2021,4.7,76606
37035,2022,3.5,79114
37057,2010,12.2,80902
37057,2011,11.0,79829
37057,2012,9.9,80304
37057,2013,8.0,79435
37057,2014,6.1,78382
37057,2015,5.5,78652
37057,2016,4.8,79258
37057,2017,4.3,78497
37057,2018,3.7,79203
37057,2019,3.7,80403
37057,2020,6.9,77355
37057,2021,4.6,78573
37057,2022,3.6,81375
37069,2010,10.8,28055
37069,2011,10.6,28089
37069,2012,9.9,28408
37069,2013,8.0,28284
37069,2014,6.3,28295
37069,2015,5.8,28684
37069,2016,5.2,29255
37069,2017,4.7,29683
37069,2018,4.1,30304
37069,2019,4.0,31272
37069,2020,6.7,30644
37069,2021,4.8,31984
37069,2022,3.7,33999
37135,2010,6.5,70250
37135,2011,6.5,70542
37135,2012,6.3,72628
37135,2013,5.2,72832
37135,2014,4.5,72720
37135,2015,4.6,73308
37135,2016,4.2,74699
37135,2017,3.8,75573
37135,2018,3.3,76455
37135,2019,3.3,79362
37135,2020,5.3,76010
37135,2021,3.6,77332
37135,2022,3.1,81535
37151,2010,11.9,69669
37151,2011,10.9,69084
37151,2012,10.2,69079
37151,2013,8.4,68069
37151,2014,6.4,66632
37151,2015,5.6,66574
37151,2016,4.9,66681
37151,2017,4.4,65678
37151,2018,3.8,65104
37151,2019,3.8,65531
37151,2020,7.2,62610
37151,2021,4.8,63213
37151,2022,3.7,65267
37161,2010,16.6,27059
37161,2011,14.6,26623
37161,2012,13.5,27038
37161,2013,10.9,25961
37161,2014,8.3,25436
37161,2015,7.7,25016
37161,2016,6.7,24733
37161,2017,6.1,24243
37161,2018,5.2,24424
37161,2019,4.8,25067
37161,2020,9.2,23673
37161,2021,6.5,23961
37161,2022,4.8,24563
37163,2010,9.6,29675
37163,2011,9.8,29863
37163,2012,9.6,29958
37163,2013,7.9,29714
37163,2014,6.3,29636
37163,2015,5.8,29511
37163,2016,5.5,29423
37163,2017,4.8,28986
37163,2018,4.1,28845
37163,2019,3.8,29179
37163,2020,5.8,27457
37163,2021,4.6,27608
37163,2022,3.8,28265
37193,2010,13.3,31185
37193,2011,11.8,31260
37193,2012,10.6,30856
37193,2013,8.7,30000
37193,2014,6.4,29541
37193,2015,5.6,29597
37193,2016,4.8,30109
37193,2017,4.3,30477
37193,2018,3.8,29703
37193,2019,4.0,29121
37193,2020,6.7,27375
37193,2021,4.9,26941
37193,2022,3.9,26962
39045,2010,9.3,74397
39045,2011,8.1,73783
39045,2012,6.6,73353
39045,2013,6.6,73998
39045,2014,5.2,74858
39045,2015,4.4,75125
39045,2016,4.3,76253
39045,2017,4.3,77538
39045,2018,4.1,77580
39045,2019,3.8,79238
39045,2020,6.6,78532
39045,2021,4.4,79302
39045,2022,3.5,80029
39049,2010,8.9,627864
39049,2011,7.8,625753
39049,2012,6.4,630411
39049,2013,6.4,638429
39049,2014,4.9,649140
39049,2015,4.1,657983
39049,2016,4.1,669446
39049,2017,4.1,686535
39049,2018,3.8,693272
39049,2019,3.6,703887
39049,2020,7.6,699696
39049,2021,5.0,704306
39049,2022,3.4,706390
39057,2010,9.6,82209
39057,2011,8.2,81574
39057,2012,6.9,80663
39057,2013,7.0,79358
39057,2014,5.2,79935
39057,2015,4.4,80645
39057,2016,4.4,81414
39057,2017,4.3,82947
39057,2018,4.0,83164
39057,2019,3.8,84343
39057,2020,6.5,82185
39057,2021,4.4,81639
39057,2022,3.6,81766
39061,2010,9.9,414321
39061,2011,8.8,406356
39061,2012,7.4,402186
39061,2013,7.3,402152
39061,2014,5.5,402530
39061,2015,4.5,402777
39061,2016,4.5,406542
39061,2017,4.4,412841
39061,2018,4.1,414927
39061,2019,3.8,420336
39061,2020,7.9,412765
39061,2021,4.9,413635
39061,2022,3.6,416987
39077,2010,13.2,30332
39077,2011,11.4,29621
39077,2012,9.9,28959
39077,2013,10.2,28640
39077,2014,8.0,27957
39077,2015,6.7,27713
39077,2016,6.6,28231
39077,2017,6.4,28310
39077,2018,5.9,28112
39077,2019,5.8,28245
39077,2020,9.5,27503
39077,2021,5.9,27522
39077,2022,5.1,27659
39089,2010,9.6,87674
39089,2011,8.4,86585
39089,2012,6.8,86045
39089,2013,6.9,86432
39089,2014,5.2,86874
39089,2015,4.5,87222
39089,2016,4.4,88594
39089,2017,4.2,89346
39089,2018,4.0,89924
39089,2019,3.8,91464
39089,2020,6.6,90051
39089,2021,4.1,90782
39089,2022,3.4,91692
39095,2010,11.6,217735
39095,2011,9.9,212751
